Tweets,Subjectivity,Polarity,Analysis
": Gifted - ADVENT GIVEAWAY DAY 2 - Todays adventgiveaway is with  
 you can win EDX Education Junior Rainb…",0.7,0.65,Positive
: The new Foundations of Modern Mining Program developed by the University of Queensland and  &amp; sponsored by t…,0.351515152,0.145454545,Positive
": Gifted - ADVENT GIVEAWAY DAY 2 - Todays adventgiveaway is with  
 you can win EDX Education Junior Rainb…",0.7,0.65,Positive
: Downloading Xcode is like waiting for Call of Duty to finish updating.,0,0,Neutral
"Instruction 1845722: ""mov ecx, edx""
 OneSecondTweeted",0,0,Neutral
": Gifted - ADVENT GIVEAWAY DAY 2 - Todays adventgiveaway is with  
 you can win EDX Education Junior Rainb…",0.7,0.65,Positive
"Instruction 1845721: ""cmp edx, esi""
 OneSecondTweeted",0,0,Neutral
": Gifted - ADVENT GIVEAWAY DAY 2 - Todays adventgiveaway is with  
 you can win EDX Education Junior Rainb…",0.7,0.65,Positive
"Instruction 1845715: ""mov edx, dword ptr [ebp+0xc]""
 OneSecondTweeted",0,0,Neutral
   Yeh that looks like the one. EdX was started by MIT &amp; Harvard. I did the… https://t.co/jtT9fzSkcU,0,0,Neutral
"Instruction 1845706: ""add eax, edx""
 OneSecondTweeted",0,0,Neutral
"Instruction 1845701: ""add ecx, edx""
 OneSecondTweeted",0,0,Neutral
": A virtual fellowship opportunity  alert‼️

Pls spread the word across the B3 to your 🇱🇹 🇱🇻 🇪🇪 colleagues in digital t…",0,0,Neutral
"Instruction 1845694: ""mov edx, dword ptr [ebp-0x10]""
 OneSecondTweeted",0,0,Neutral
😎 doing this ‘Cognitive Skills for Early Reading Success’ course on EdX and they’re talking about all the shit we do in class aaayyyyy,0.366666667,0.066666667,Positive
They got me in EDX &amp; it’s too good to be true tonight 😂,0.625,0.525,Positive
Standford Business School's former lecturers Naomi Bagdonas and Connor Diemand Yauman offered a high-quality class… https://t.co/Ws9THxS4z0,0,0,Neutral
"Finished 2 certicicates today from Udemy
Finished 2 topics good for two weeks in 2 days from edX EPFL. Tapusin ko u… https://t.co/xyJMvdOSat",0.6,0.7,Positive
": Gifted - ADVENT GIVEAWAY DAY 2 - Todays adventgiveaway is with  
 you can win EDX Education Junior Rainb…",0.7,0.65,Positive
"Instruction 1845601: ""cmp edx, esi""
 OneSecondTweeted",0,0,Neutral
"Instruction 1845595: ""mov edx, dword ptr [ebp+0xc]""
 OneSecondTweeted",0,0,Neutral
": Gifted - ADVENT GIVEAWAY DAY 2 - Todays adventgiveaway is with  
 you can win EDX Education Junior Rainb…",0.7,0.65,Positive
"Instruction 1845586: ""add eax, edx""
 OneSecondTweeted",0,0,Neutral
"Instruction 1845581: ""add ecx, edx""
 OneSecondTweeted",0,0,Neutral
"Instruction 1845574: ""mov edx, dword ptr [ebp-0x10]""
 OneSecondTweeted",0,0,Neutral
I just completed Introduction To Food &amp; Health with ! https://t.co/34RsZHoTA4,0,0,Neutral
": NonHoliday Highest Grossing Movies of the year Since 1988.

Only the films that Didn't have any Major Holiday(EDX+Nati…",0.75,0.03125,Positive
": Hey Twitter 🐥,

I am working on building a platform called WorkSchool ( ) where learners can take the best…",0,0,Neutral
 I took a class from Edx and it was super motivating. They broke the concepts down into short videos and th… https://t.co/SsTGR9L6Mr,0.418518519,0.059259259,Positive
 Yes😂😂 edx chahiye tha 133cr waale Canadian waiter ko😂😂,0,0,Neutral
"Next task, to complete all modules in EdX because I have 17 days left for me to finish the course. 😩",0.133333333,0.033333333,Positive
:  Let's not allow them to succeed in their quest to deprive us of knowledge. You wanna do some technical stuffs like D…,0.1,0,Neutral
"Instruction 1845486: ""mov ecx, edx""
 OneSecondTweeted",0,0,Neutral
"Instruction 1845485: ""cmp edx, esi""
 OneSecondTweeted",0,0,Neutral
"Instruction 1845479: ""mov edx, dword ptr [ebp+0xc]""
 OneSecondTweeted",0,0,Neutral
": There was the Four Seasons Total Landscaping debacle. The hair-dye (?) brouhaha. And the kraken catastrophe.

But the T…",0.75,0,Neutral
"Instruction 1845470: ""add eax, edx""
 OneSecondTweeted",0,0,Neutral
"Instruction 1845465: ""add ecx, edx""
 OneSecondTweeted",0,0,Neutral
"Instruction 1845458: ""mov edx, dword ptr [ebp-0x10]""
 OneSecondTweeted",0,0,Neutral
"I just completed Women Making History: Ten Objects, Many Stories with ! https://t.co/Ue9YrMdiOG",0.25,0.3125,Positive
"Instruction 1845394: ""cmp edx, esi""
 OneSecondTweeted",0,0,Neutral
"Instruction 1845388: ""mov edx, dword ptr [ebp+0xc]""
 OneSecondTweeted",0,0,Neutral
Avicii - Wake Me Up (EDX Miami Sunset Remix) https://t.co/xVridFg6mk,0,0,Neutral
"Instruction 1845379: ""add eax, edx""
 OneSecondTweeted",0,0,Neutral
"EDX, Jess Ball - I Found You (Neptune)",0,0,Neutral
": Top 10 Sites for Free Online Education:

Search for these on Google: 

1. Coursera
2. edX
3. Khan Academy
4. Udemy
5. iTunes…",0.65,0.45,Positive
"Instruction 1845374: ""add ecx, edx""
 OneSecondTweeted",0,0,Neutral
"Instruction 1845364: ""mov esi, dword ptr [edx+0xc]""
 OneSecondTweeted",0,0,Neutral
"Instruction 1845360: ""mov edx, ecx""
 OneSecondTweeted",0,0,Neutral
"Instruction 1845349: ""cmp word ptr [edx+ecx*2-0x8], 0x2e""
 OneSecondTweeted",0,0,Neutral
"Instruction 1845343: ""add edx, ecx""
 OneSecondTweeted",0,0,Neutral
"Instruction 1845339: ""mov edx, dword ptr [esi+0x4]""
 OneSecondTweeted",0,0,Neutral
 I'd have to intervene,0,0,Neutral
"Instruction 1845323: ""mov edx, eax""
 OneSecondTweeted",0,0,Neutral
"Instruction 1845320: ""pop edx""
 OneSecondTweeted",0,0,Neutral
I just earned a Certificate on ! Check it out:  https://t.co/TBhnK1coL0,0,0,Neutral
"Instruction 1845309: ""mov edx, eax""
 OneSecondTweeted",0,0,Neutral
"Instruction 1845305: ""pop edx""
 OneSecondTweeted",0,0,Neutral
"Instruction 1845294: ""mov edx, eax""
 OneSecondTweeted",0,0,Neutral
"Instruction 1845290: ""pop edx""
 OneSecondTweeted",0,0,Neutral
"  . and if you are looking for something more ""adult"" but still entry-level… https://t.co/WTGxlTORH3",0.4,0.3,Positive
"Instruction 1845279: ""mov edx, eax""
 OneSecondTweeted",0,0,Neutral
": Gifted - ADVENT GIVEAWAY DAY 2 - Todays adventgiveaway is with  
 you can win EDX Education Junior Rainb…",0.7,0.65,Positive
"Estas Escuchando la que Tiene Power Hits y Mas Now playing on AMP RADIO: Umoja by EDX! Tune in now. 
🚨Sigueme en In… https://t.co/2GpH5UdSvL",0,0,Neutral
"Instruction 1845274: ""pop edx""
 OneSecondTweeted",0,0,Neutral
"CurtinGrads can advance their understanding of the mine life-cycle with our new  FREE course, Operation… https://t.co/laCqtkBbvq",0.627272727,0.268181818,Positive
"Instruction 1845250: ""mov esi, edx""
 OneSecondTweeted",0,0,Neutral
"everyone: i hope 2021 is better a year
2021: https://t.co/WrgmpgAaWD",0.5,0.5,Positive
"NowPlaying OFF THE GRID - EDX, AMBA SHEPHERD ListenLive https://t.co/k3PXEMRBsK",0,0,Neutral
"  Udemy, Coursera, edx and not the least ",0.4,-0.3,Negative
"Instruction 1845234: ""mov edx, esi""
 OneSecondTweeted",0,0,Neutral
"Instruction 1845227: ""mov edi, edx""
 OneSecondTweeted",0,0,Neutral
"Instruction 1845225: ""xor edx, edx""
 OneSecondTweeted",0,0,Neutral
"Instruction 1845224: ""mov esi, edx""
 OneSecondTweeted",0,0,Neutral
"Instruction 1845211: ""lea edx, ptr [ebp-0x230]""
 OneSecondTweeted",0,0,Neutral
": Decolonising Evaluation
Learn to identify the intersection between evaluation and decolonization debates by understanding ho…",0,0,Neutral
Funkagenda - Breakwater (Edx's Ibiza Sunrise Remix) - 4A - 126 : Now Playing On https://t.co/qXcGGVDQH0,0,0,Neutral
"Instruction 1845180: ""xor edx, edx""
 OneSecondTweeted",0,0,Neutral
": Gifted - ADVENT GIVEAWAY DAY 2 - Todays adventgiveaway is with  
 you can win EDX Education Junior Rainb…",0.7,0.65,Positive
CS50's Introduction to Computer Science https://t.co/cfu7RINAnb,0,0,Neutral
" Go to edX and search Greatest Unsolved Mysteries of the Universe, Enroll",1,1,Positive
": Gifted - ADVENT GIVEAWAY DAY 2 - Todays adventgiveaway is with  
 you can win EDX Education Junior Rainb…",0.7,0.65,Positive
": NonHoliday Highest Grossing Movies of the year Since 1988.

Only the films that Didn't have any Major Holiday(EDX+Nati…",0.75,0.03125,Positive
: The new Foundations of Modern Mining Program developed by the University of Queensland and  &amp; sponsored by t…,0.351515152,0.145454545,Positive
": https://t.co/YA3rU3701w To get ready for exam, there are several free edX MOOCs you'll find helpful. These free classes in…",0.525,0.25,Positive
"https://t.co/YA3rU3701w To get ready for exam, there are several free edX MOOCs you'll find helpful. These free c… https://t.co/f22VtiLhve",0.525,0.25,Positive
