Tweets,Subjectivity,Polarity,Analysis
Literally being hounded by  EVERY DAY this week on SMS and with automated calls. Please stop. 🛑,0.0,0.0,Neutral
": This Page is a Scam. 
Please Retweet!!!

They need to refund ",0.0,0.0,Neutral
     Just sent email to cancel and ask to get all your info deleted.,0.0,0.0,Neutral
 Keep deleting my comments they will come back. This company is a SCAM. Money taken of your bank accoun… https://t.co/u4FOvv9WzQ,0.0,0.0,Neutral
"This Page is a Scam. 
Please Retweet!!!

They need to refund  https://t.co/FfKjQNoG9j",0.0,0.0,Neutral
": If anyone is thinking about doing a 'free month trial' course with , don't. They are Grade A, weapons-grade, co…",0.8,0.4,Positive
: for awareness! ⚠️ Don’t subscribe to Shaw Academy free trials/classes. You WILL NOT be able to cancel your subscript…,0.7125,0.45,Positive
:    A cancelled shawacademy account means nothing. They will still steal your money unles…,0.0,0.0,Neutral
:  BEWARE! shawacademy is a dishonest company that has STOLEN money from THOUSANDS of consumers. Suggest ever…,0.5,-0.3,Negative
":  Shaw Academy, please I need a refund of my 5, 836.53 naira you debited from my account. I didn't sign up for t…",0.0,0.0,Neutral
":  Shaw Academy, please I need a refund of my 5, 836.53 naira you debited from my account. I didn't sign up for t…",0.0,0.0,Neutral
"The focus may be on cameras but lighting is just as important in taking good pictures

https://t.co/stkTgJqnUC… https://t.co/Rp3fzXtg5u",0.8,0.55,Positive
":  Shaw Academy, please I need a refund of my 5, 836.53 naira you debited from my account. I didn't sign up for t…",0.0,0.0,Neutral
":  Shaw Academy, please I need a refund of my 5, 836.53 naira you debited from my account. I didn't sign up for t…",0.0,0.0,Neutral
":  Shaw Academy, please I need a refund of my 5, 836.53 naira you debited from my account. I didn't sign up for t…",0.0,0.0,Neutral
": Featured Student Group: Photography 📷

Talk with fellow students and see other student's work

https://t.co/5HldeYbbQQ

s…",0.375,-0.125,Negative
":  Please I need a refund of the money you debited from my account.
You offered a one moth free course which I de…",0.8,0.4,Positive
" Please I need a refund of the money you debited from my account.
You offered a one moth free course wh… https://t.co/GsjxTpbka3",0.8,0.4,Positive
" Shaw Academy, please I need a refund of my 5, 836.53 naira you debited from my account. I didn't sign… https://t.co/zoJ3CwFIs8",0.0,0.0,Neutral
"  Yeah, I did",0.0,0.0,Neutral
 I bought subscription to ShawAcademy thinking to learn something new. But more than the online tr… https://t.co/fcwa6ClDw9,0.4772727272727273,0.3181818181818182,Positive
One thing about  THEY WILL FLOOD YOUR INBOX!!!!!,0.0,0.0,Neutral
